act,scene,character,dialogue,line_number,paraphrased
Act I,Scene I,[stage direction],FRANCISCO at his post. Enter to him BERNARDO,, Francisco is on duty. Bernard enters to see him.
Act I,Scene I,Bernardo,Who's there?,1," Who's here? (In this context, ""there"" implies location and should be replaced with ""here"".)"
Act I,Scene I,Francisco,"Nay, answer me: stand, and unfold yourself.",2," No, respond to me: Stand up straight, and reveal who you are."
Act I,Scene I,Bernardo,Long live the king!,3, Long live the monarch!
Act I,Scene I,Francisco,Bernardo?,4," Bernardo, is that you?"
Act I,Scene I,Bernardo,He.,5," He is/He's (subject pronoun, informal)"
Act I,Scene I,Francisco,You come most carefully upon your hour.,6, You arrive with utmost care during your scheduled time.
Act I,Scene I,Bernardo,"'Tis now struck twelve; get thee to bed, Francisco.",7," It's midnight now, Francisco. Go to bed."
Act I,Scene I,Francisco,"For this relief much thanks: 'tis bitter cold,",8, I'm grateful for the warmth: it's freezing out here!
Act I,Scene I,Francisco,And I am sick at heart.,9, I'm feeling deeply disappointed.
Act I,Scene I,Bernardo,Have you had quiet guard?,10, Have you kept a peaceful watch recently?
Act I,Scene I,Francisco,Not a mouse stirring.,11, Not a single mouse moving.
Act I,Scene I,Bernardo,"Well, good night.",12, Goodnight! See you tomorrow.
Act I,Scene I,Bernardo,"If you do meet Horatio and Marcellus,",13, If you encounter Horatio and Marcellus
Act I,Scene I,Bernardo,"The rivals of my watch, bid them make haste.",14," The competitors of my watch, hurry up."
Act I,Scene I,Francisco,"I think I hear them. Stand, ho! Who's there?",15, I believe I hear something. Let's stand and check who it is!
Act I,Scene I,[stage direction],Enter HORATIO and MARCELLUS,," Enter Horatio and Marcello (informal)
   Or,
   Horatio and Marcella arrive (neutral)"
Act I,Scene I,Horatio,Friends to this ground.,16," Friends, gather here."
Act I,Scene I,Marcellus,And liegemen to the Dane.,17, And vassals to the Danish lord.
Act I,Scene I,Francisco,Give you good night.,18, Goodnight to you.
Act I,Scene I,Marcellus,"O, farewell, honest soldier:",19," Oh, goodbye, honorable soldier."
Act I,Scene I,Marcellus,Who hath relieved you?,20, Who has helped you?
Act I,Scene I,Francisco,Bernardo has my place.,21, Bernardo is keeping/sitting at my house.
Act I,Scene I,Francisco,Give you good night.,22, Good night to you.
Act I,Scene I,[stage direction],Exit,," Leave or depart (usually used for a place, building or situation)"
Act I,Scene I,Marcellus,Holla! Bernardo!,23," Hey there, Bernardo!"
Act I,Scene I,Bernardo,"Say,",24, How about we talk?
Act I,Scene I,Bernardo,"What, is Horatio there?",25, Is Horatio present?
Act I,Scene I,Horatio,A piece of him.,26, A part of him.
Act I,Scene I,Bernardo,"Welcome, Horatio: welcome, good Marcellus.",27," Hi there, Horatio; hi, great Marcellus."
Act I,Scene I,Marcellus,"What, has this thing appear'd again to-night?",28, Has this thing reappeared tonight?
Act I,Scene I,Bernardo,I have seen nothing.,29, I've witnessed nothing.
Act I,Scene I,Marcellus,"Horatio says 'tis but our fantasy,",30, Horatio claims it's just our imagination.
Act I,Scene I,Marcellus,And will not let belief take hold of him,31, He won't let his beliefs overpower him.
Act I,Scene I,Marcellus,"Touching this dreaded sight, twice seen of us:",32," encountering this dreadful scene, witnessed by us twice:"
Act I,Scene I,Marcellus,Therefore I have entreated him along,33," Therefore, I've asked him for it."
Act I,Scene I,Marcellus,With us to watch the minutes of this night;,34, We'll spend these minutes with you tonight.
Act I,Scene I,Marcellus,"That if again this apparition come,",35, If this apparition appears again:
